participant_id,trial_number,category,image_id,image_name,image_path,rotation_degrees,response,timestamp
cw,1,shading,12,0072_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0072_rot180.png,180,bottom,2026-04-17T13:27:24
cw,2,shadow,20,54_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\54_rot180.png,180,top,2026-04-17T13:27:24
cw,3,incongruent,37,66_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\66_rot180.png,180,top,2026-04-17T13:27:26
cw,4,incongruent,38,72.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\72.png,0,top,2026-04-17T13:27:27
cw,5,shadow,17,48.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\48.png,0,top,2026-04-17T13:27:28
cw,6,shadow,27,78.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\78.png,0,bottom,2026-04-17T13:27:30
cw,7,incongruent,31,48.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\48.png,0,top,2026-04-17T13:27:31
cw,8,shadow,23,66.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\66.png,0,bottom,2026-04-17T13:27:33
cw,9,shading,2,0042_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0042_rot180.png,180,top,2026-04-17T13:27:33
cw,10,shadow,24,66_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\66_rot180.png,180,top,2026-04-17T13:27:34
cw,11,shading,10,0066_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0066_rot180.png,180,bottom,2026-04-17T13:27:36
cw,12,shading,6,0054_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0054_rot180.png,180,top,2026-04-17T13:27:36
cw,13,shading,7,0060.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0060.png,0,bottom,2026-04-17T13:27:38
cw,14,incongruent,41,78_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\78_rot180.png,180,top,2026-04-17T13:27:39
cw,15,shadow,26,72_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\72_rot180.png,180,bottom,2026-04-17T13:27:40
cw,16,shading,2,0042_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0042_rot180.png,180,top,2026-04-17T13:27:41
cw,17,shading,8,0060_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0060_rot180.png,180,bottom,2026-04-17T13:27:43
cw,18,shading,2,0042_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0042_rot180.png,180,top,2026-04-17T13:27:44
cw,19,shadow,24,66_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\66_rot180.png,180,top,2026-04-17T13:27:45
cw,20,shadow,17,48.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\48.png,0,top,2026-04-17T13:27:46
cw,21,shading,12,0072_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0072_rot180.png,180,top,2026-04-17T13:27:47
cw,22,incongruent,41,78_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\78_rot180.png,180,top,2026-04-17T13:27:49
cw,23,shading,7,0060.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0060.png,0,bottom,2026-04-17T13:27:50
cw,24,shading,2,0042_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0042_rot180.png,180,top,2026-04-17T13:27:51
cw,25,incongruent,30,42_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\42_rot180.png,180,bottom,2026-04-17T13:27:53
cw,26,shading,6,0054_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0054_rot180.png,180,top,2026-04-17T13:27:54
cw,27,shading,11,0072.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0072.png,0,bottom,2026-04-17T13:27:55
cw,28,shadow,25,72.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\72.png,0,bottom,2026-04-17T13:27:56
cw,29,shading,7,0060.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0060.png,0,bottom,2026-04-17T13:27:58
cw,30,incongruent,33,54.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\54.png,0,bottom,2026-04-17T13:27:59
cw,31,incongruent,33,54.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\54.png,0,bottom,2026-04-17T13:28:00
cw,32,incongruent,29,42.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\42.png,0,top,2026-04-17T13:28:01
cw,33,incongruent,34,54_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\54_rot180.png,180,top,2026-04-17T13:28:02
cw,34,shadow,18,48_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\48_rot180.png,180,top,2026-04-17T13:28:03
cw,35,incongruent,36,60_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\60_rot180.png,180,bottom,2026-04-17T13:28:07
cw,36,shading,3,0048.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0048.png,0,top,2026-04-17T13:28:08
cw,37,shadow,15,42.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\42.png,0,top,2026-04-17T13:28:09
cw,38,shading,1,0042.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0042.png,0,top,2026-04-17T13:28:10
cw,39,shading,10,0066_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0066_rot180.png,180,bottom,2026-04-17T13:28:11
cw,40,incongruent,40,78.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\78.png,0,bottom,2026-04-17T13:28:12
cw,41,shading,11,0072.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0072.png,0,bottom,2026-04-17T13:28:14
cw,42,shadow,17,48.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\48.png,0,top,2026-04-17T13:28:14
cw,43,shadow,25,72.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\72.png,0,bottom,2026-04-17T13:28:15
cw,44,incongruent,36,60_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\60_rot180.png,180,bottom,2026-04-17T13:28:18
cw,45,incongruent,37,66_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\66_rot180.png,180,top,2026-04-17T13:28:19
cw,46,shading,7,0060.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0060.png,0,bottom,2026-04-17T13:28:20
cw,47,shading,4,0048_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0048_rot180.png,180,top,2026-04-17T13:28:21
cw,48,shadow,20,54_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\54_rot180.png,180,top,2026-04-17T13:28:23
cw,49,shadow,19,54.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\54.png,0,top,2026-04-17T13:28:24
cw,50,incongruent,30,42_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\42_rot180.png,180,top,2026-04-17T13:28:25
cw,51,shading,7,0060.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0060.png,0,top,2026-04-17T13:28:27
cw,52,shading,10,0066_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0066_rot180.png,180,bottom,2026-04-17T13:28:28
cw,53,shadow,24,66_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\66_rot180.png,180,top,2026-04-17T13:28:30
cw,54,incongruent,40,78.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\78.png,0,top,2026-04-17T13:28:32
cw,55,shading,14,0078_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0078_rot180.png,180,bottom,2026-04-17T13:28:33
cw,56,shading,3,0048.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0048.png,0,top,2026-04-17T13:28:35
cw,57,shading,9,0066.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0066.png,0,bottom,2026-04-17T13:28:38
cw,58,shadow,24,66_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\66_rot180.png,180,bottom,2026-04-17T13:28:40
cw,59,shading,12,0072_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0072_rot180.png,180,bottom,2026-04-17T13:28:41
cw,60,shading,11,0072.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0072.png,0,bottom,2026-04-17T13:28:42
cw,61,shading,13,0078.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0078.png,0,bottom,2026-04-17T13:28:44
cw,62,shading,2,0042_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0042_rot180.png,180,top,2026-04-17T13:28:45
cw,63,shading,1,0042.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shading\0042.png,0,top,2026-04-17T13:28:46
cw,64,shadow,15,42.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\42.png,0,top,2026-04-17T13:28:47
cw,65,incongruent,41,78_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\78_rot180.png,180,top,2026-04-17T13:28:48
cw,66,incongruent,39,72_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\incongruent\72_rot180.png,180,top,2026-04-17T13:28:49
cw,67,shadow,16,42_rot180.png,C:\Users\labdomin\Desktop\cpsy-stimuli-renderer\trial-runner\stimuli\shadow\42_rot180.png,180,bottom,2026-04-17T13:28:51
