participant_id,trial_number,category,image_id,image_name,image_path,rotation_degrees,response,timestamp
ag,1,shading,4,0054.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0054.png,0,convex,2026-03-31T13:46:42
ag,2,shading,4,0054.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0054.png,180,concave,2026-03-31T13:46:42
ag,3,shading,6,0066.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0066.png,0,convex,2026-03-31T13:46:43
ag,4,shading,6,0066.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0066.png,180,concave,2026-03-31T13:46:43
ag,5,shading,1,0036.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0036.png,0,convex,2026-03-31T13:46:44
ag,6,shading,1,0036.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0036.png,180,concave,2026-03-31T13:46:44
ag,7,shading,7,0072.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0072.png,0,convex,2026-03-31T13:46:44
ag,8,shading,7,0072.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0072.png,180,concave,2026-03-31T13:46:45
ag,9,shading,8,0078.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0078.png,0,convex,2026-03-31T13:46:45
ag,10,shading,8,0078.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0078.png,180,concave,2026-03-31T13:46:46
ag,11,shading,3,0048.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0048.png,0,convex,2026-03-31T13:46:47
ag,12,shading,3,0048.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0048.png,180,concave,2026-03-31T13:46:47
ag,13,shading,9,0084.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0084.png,0,convex,2026-03-31T13:46:55
ag,14,shading,9,0084.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0084.png,180,concave,2026-03-31T13:46:56
ag,15,shading,5,0060.png,/Users/ashtonglover/Desktop/cpsy/trial-runner/stimuli/shading/0060.png,0,convex,2026-03-31T13:47:02
